frame,fps_frame,n_dets,n_fused,n_tracks,n_drawn,n_voronoi_points,n_hold_points,dup_pairs,id_switches_cum
142,1.045,23,23,23,10,11,1,0,1
143,1.09,23,23,23,10,11,1,0,1
144,1.077,23,22,22,10,11,1,0,1
145,1.083,23,22,22,10,11,1,0,1
146,1.066,23,22,22,10,11,1,0,1
147,1.072,23,22,22,10,11,1,0,1
148,1.065,23,22,22,10,11,1,0,1
149,1.096,23,21,21,10,11,1,0,1
150,1.094,23,22,22,10,11,1,0,1
151,1.078,23,21,21,10,11,1,0,1
152,1.089,23,21,21,10,11,1,0,1
153,1.082,23,21,21,10,11,1,0,1
154,1.111,23,21,21,10,11,1,0,1
155,1.113,23,20,20,10,11,1,0,1
156,1.065,24,21,21,10,11,1,0,1
157,1.085,24,21,21,10,11,1,0,1
158,1.073,24,21,21,10,11,1,0,1
159,1.091,24,21,21,10,11,1,0,1
160,1.102,23,20,20,10,11,1,0,1
161,1.088,23,20,20,10,11,1,0,1
162,1.068,23,20,20,10,11,1,0,1
163,1.087,23,20,20,10,11,1,0,1
164,1.086,23,21,21,10,11,1,0,1
165,1.116,23,21,21,10,11,1,0,1
166,1.104,23,22,22,10,11,1,0,1
167,1.108,23,21,21,10,11,1,0,1
168,1.089,23,22,22,10,11,1,0,1
169,1.081,23,23,23,10,11,1,0,1
170,1.047,23,23,23,10,11,1,0,1
171,1.062,23,22,22,10,11,1,0,1
172,1.079,23,22,22,10,11,1,0,1
173,1.035,23,23,23,10,11,1,0,1
174,1.086,23,22,22,10,11,1,0,1
175,1.058,23,21,21,10,11,1,0,1
176,1.091,23,21,21,10,11,1,0,1
177,1.061,23,20,20,10,11,1,0,1
178,1.086,23,21,21,11,11,0,0,2
179,1.083,23,21,21,11,11,0,0,2
180,1.098,23,21,21,11,11,0,0,2
181,1.093,23,20,20,11,11,0,0,2
182,1.099,23,20,20,11,11,0,0,2
183,1.112,23,20,20,11,11,0,0,2
184,1.012,23,20,20,11,11,0,0,2
